"DATE and HOUR",COMPANY,TEAM,"PACKAGE ID","DIESEL PRICE","DIM WEIGHT COMPANY","DIM WEIGHT ROUND COMPANY","PRICE WEIGHT COMPANY","PEAKE SEASON PRICE COMPANY","PRICE BASE COMPANY","SURCHARGE PERCENTAGE COMPANY","SURCHAGE PRICE COMPANY","TOTAL PRICE COMPANY"
"03-03-2023 10:32:00","AMERICAN EAGLE","Brooks Courier",AT000040003100009093,4.444,0.00,2,7.00,0.00,7.00,13.75,0.9625,7.9625
"03-03-2023 10:33:00","AMERICAN EAGLE","Brooks Courier",AT000040003100009458,4.444,0.00,7,7.00,0.00,7.00,13.75,0.9625,7.9625
"03-03-2023 10:34:00","AMERICAN EAGLE","Brooks Courier",AT000040003100009758,4.444,0.00,6,7.00,0.00,7.00,13.75,0.9625,7.9625
