shipment_id,status,date,hour,timezone,city_locality,state,lat,lon,pod_url
AE77,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE78,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE79,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE80,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE81,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE82,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE83,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE84,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE85,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE86,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE87,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE88,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE89,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE90,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE91,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE92,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE93,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE94,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE95,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE96,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE97,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE98,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE99,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE100,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE101,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE102,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE103,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE104,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE105,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE106,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE107,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE108,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE109,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE110,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE111,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE112,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE113,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE114,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE115,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE116,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE117,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE118,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE119,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE120,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE121,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE122,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE123,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE124,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE125,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
