DATE,COMPANY,"PACKAGE ID","PRICE FUEL","WEIGHT COMPANY","DIM WEIGHT ROUND COMPANY","PRICE WEIGHT COMPANY","PEAKE SEASON PRICE COMPANY","PRICE BASE COMPANY","SURCHARGE PERCENTAGE COMPANY","SURCHAGE PRICE COMPANY","TOTAL PRICE COMPANY"
02-26-2023,"AMERICAN EAGLE",AT000040003100006822,$4.376,3.52,4,$7.00,$0.00,$7.00,13.50%,$0.9450,$7.9450
03-03-2023,"AMERICAN EAGLE",AT000040003100009093,$4.444,1.48,2,$7.00,$0.00,$7.00,13.75%,$0.9625,$7.9625
03-03-2023,"AMERICAN EAGLE",AT000040003100009458,$4.444,6.77,7,$7.00,$0.00,$7.00,13.75%,$0.9625,$7.9625
03-03-2023,"AMERICAN EAGLE",AT000040003100009758,$4.444,5.87,6,$7.00,$0.00,$7.00,13.75%,$0.9625,$7.9625
